id,name,now_cost,position,team,dreamteam_count,goals_conceded,selected_rank_type,form,creativity_rank,ep_this,chance_of_playing_this_round,bonus,expected_assists,creativity,web_name,penalties_order,ict_index_rank,clean_sheets,ep_next,expected_goals_conceded,in_dreamteam,red_cards,expected_assists_per_90,threat,transfers_in,ict_index_rank_type,corners_and_indirect_freekicks_order,value_form,saves,news,total_points,expected_goals_per_90,cost_change_start,yellow_cards,goals_scored,threat_rank,chance_of_playing_next_round,points_per_game_rank_type,form_rank_type,value_season,influence_rank_type,direct_freekicks_order,minutes,bps,own_goals,news_added,points_per_game_rank,expected_goals,threat_rank_type,starts_per_90,penalties_saved,starts,event_points,expected_goals_conceded_per_90,points_per_game,assists,cost_change_start_fall,region,clean_sheets_per_90,cost_change_event_fall,goals_conceded_per_90,now_cost_rank,status,transfers_in_event,selected_by_percent,saves_per_90,influence,selected_rank,creativity_rank_type,ict_index,expected_goal_involvements_per_90,influence_rank,cost_change_event,now_cost_rank_type,penalties_missed,form_rank,expected_goal_involvements,transfers_out,transfers_out_event
77,Alex Scott,48,MID,Bournemouth,0,3,219,0.8,186,0.0,0.0,0,0.17,65.5,Scott,,265,1,0.0,3.67,False,0,0.06,21.0,2213,129,,0.2,0,Knee injury - Unknown return date,11,0.04,-2,0,0,266,0.0,148,136,2.3,115,,258,54,0,2024-10-25T09:00:05.962917Z,311,0.12,148,0.7,0,2,0,1.28,1.4,0,2,241.0,0.35,0,1.05,328,i,10,0.0,0.0,71.0,546,116,15.8,0.1,260,0,217,0,284,0.29,5112,87
78,Antoine Semenyo,57,MID,Bournemouth,1,15,12,3.8,52,3.8,,4,1.77,190.5,Semenyo,,12,1,3.8,14.23,False,0,0.16,395.0,1851141,9,,0.7,0,,46,0.34,2,4,4,4,,19,25,8.1,15,,967,185,0,,44,3.61,3,1.02,0,11,2,1.32,4.2,1,-2,81.0,0.09,-1,1.4,98,a,44795,10.3,0.0,247.2,43,44,82.9,0.5,48,1,61,0,61,5.38,939194,27325
79,Marcos Senesi,48,DEF,Bournemouth,1,11,85,3.2,179,3.2,,3,0.42,67.0,Senesi,,174,1,3.2,10.67,False,0,0.05,27.0,51572,47,,0.7,0,,19,0.09,-2,4,0,244,,69,23,4.0,26,,772,78,0,,210,0.81,70,1.05,0,9,0,1.24,2.1,0,2,10.0,0.12,0,1.28,309,a,2892,0.7,0.0,197.0,228,44,29.3,0.14,83,0,35,0,77,1.23,80940,2532
80,Luis Sinisterra,50,MID,Bournemouth,1,3,132,0.2,142,0.0,0.0,2,0.91,96.3,Sinisterra,,115,0,0.0,3.48,False,0,0.4,177.0,68060,71,,0.0,0,Hamstring injury - Unknown return date,19,0.48,0,0,1,51,0.0,77,178,3.8,91,,203,75,0,2024-10-25T09:00:05.974870Z,182,1.09,32,0.44,0,1,0,1.54,2.4,1,0,48.0,0.0,0,1.33,211,i,3,0.2,0.0,98.4,370,99,37.2,0.88,218,0,133,0,357,2.00,72625,1201
81,Adam Smith,45,DEF,Bournemouth,0,8,132,1.0,228,1.0,,0,0.05,49.0,Smith,,284,1,1.0,7.68,False,0,0.01,6.0,16093,95,,0.2,0,,18,0.09,0,3,0,339,,94,78,4.0,93,,604,51,0,,284,0.60,115,0.89,0,6,0,1.14,1.6,0,0,241.0,0.15,0,1.19,355,a,272,0.2,0.0,73.8,375,63,12.9,0.1,252,0,54,0,247,0.65,18299,435
83,Marcus Tavernier,55,MID,Bournemouth,0,11,93,2.2,11,2.2,,2,1.49,332.6,Tavernier,,19,2,2.2,10.94,False,0,0.17,213.0,67528,15,2.0,0.4,0,,33,0.28,0,2,1,39,,53,67,6.0,31,2.0,801,135,0,,122,2.52,23,1.01,0,9,1,1.23,3.0,2,0,241.0,0.22,0,1.24,115,a,517,0.4,0.0,189.4,289,9,73.5,0.45,93,0,71,0,155,4.01,57339,1592
84,Mark Travers,44,GKP,Bournemouth,0,3,55,2.0,537,2.0,,1,0.01,0.0,Travers,,315,0,2.0,4.15,False,0,0.0,0.0,9780,24,,0.5,12,,10,0.0,-1,0,0,511,,14,16,2.3,24,,270,38,0,,90,0.00,51,1.0,0,3,0,1.38,3.3,0,1,104.0,0.0,0,1.0,510,a,187,0.2,4.0,94.6,381,59,9.4,0.0,221,0,28,0,165,0.01,10723,565
85,Illia Zabarnyi,44,DEF,Bournemouth,0,15,109,2.5,298,2.5,,0,0.12,20.4,Zabarnyi,,234,1,2.5,14.64,False,0,0.01,14.0,27954,73,,0.6,0,,22,0.03,-1,1,0,298,,74,31,5.0,39,,990,107,0,,225,0.30,96,1.0,0,11,0,1.33,2.0,0,1,225.0,0.09,0,1.36,521,a,376,0.4,0.0,179.2,288,93,21.5,0.04,105,0,116,0,115,0.42,36153,659
152,Kepa Arrizabalaga,45,GKP,Bournemouth,0,10,34,2.0,346,1.5,75.0,0,0.00,10.0,Arrizabalaga,,256,1,2.0,7.58,False,0,0.0,0.0,98580,17,,0.4,22,,19,0.0,0,0,0,530,100.0,15,17,4.2,18,,540,69,0,2024-10-26T20:00:07.229572Z,96,0.00,54,1.0,0,6,2,1.26,3.2,0,0,200.0,0.17,0,1.67,360,a,1287,0.6,3.67,159.6,240,4,16.9,0.0,129,0,13,0,166,0.00,82431,757
580,Dean Huijsen,43,DEF,Bournemouth,0,4,164,0.5,246,0.5,,0,0.02,41.8,Huijsen,,294,0,0.5,4.60,False,0,0.01,16.0,2987,98,,0.1,0,,5,0.11,-2,1,0,288,,130,99,1.2,103,,217,18,0,,362,0.26,91,0.83,0,2,1,1.91,1.0,0,2,200.0,0.0,0,1.66,570,a,48,0.1,0.0,53.4,455,73,11.2,0.12,292,0,149,0,305,0.28,7981,91
592,Julián Araujo Zúñiga,44,DEF,Bournemouth,0,7,133,0.5,353,0.5,,0,0.04,7.9,J.Araujo,,355,0,0.5,6.95,False,0,0.01,2.0,10560,117,,0.1,0,,8,0.0,-1,1,0,368,,132,101,1.8,113,,352,11,0,,366,0.00,125,1.28,0,5,1,1.78,1.0,0,1,139.0,0.0,0,1.79,518,a,146,0.2,0.0,40.0,377,113,5.1,0.01,321,0,115,0,308,0.04,16936,259
599,Will Dennis,40,GKP,Bournemouth,0,0,42,0.0,470,0.0,,0,0.00,0.0,Dennis,,487,0,0.0,0.00,False,0,0.0,0.0,31388,51,,0.0,0,,0,0.0,0,0,0,432,,51,44,0.0,51,,0,0,0,,488,0.00,25,0.0,0,0,0,0.0,0.0,0,0,241.0,0.0,0,0.0,626,a,162,0.4,0.0,0.0,279,34,0.0,0.0,484,0,62,0,414,0.00,19261,536
617,Francisco Evanilson de Lima Barbosa,59,FWD,Bournemouth,0,11,33,7.0,153,7.0,,9,0.60,88.1,Evanilson,2.0,66,4,7.0,9.06,False,0,0.08,232.0,245146,15,,1.2,0,,45,0.51,-1,0,4,32,,12,3,7.6,16,,706,169,0,,29,3.98,14,1.15,0,9,8,1.15,4.5,1,1,30.0,0.51,0,1.4,86,a,34256,1.5,0.0,168.4,169,16,48.7,0.59,119,0,25,1,5,4.58,103311,3126
86,Kristoffer Ajer,44,DEF,Brentford,0,12,119,0.0,248,0.0,0.0,0,0.10,40.6,Ajer,,264,0,0.0,11.94,False,0,0.01,47.0,30455,87,,0.0,0,Foot injury - 50% chance of playing,7,0.04,-1,3,0,201,50.0,138,197,1.6,96,,637,23,0,2024-10-26T20:00:07.058865Z,421,0.28,50,1.13,0,8,0,1.69,0.9,0,1,161.0,0.0,0,1.7,494,d,14,0.3,0.0,71.8,326,74,15.9,0.05,259,0,98,0,489,0.38,45778,1073
87,Ethan Brierley,45,MID,Brentford,0,0,168,0.0,589,0.0,100.0,0,0.00,0.0,Brierley,,593,0,0.0,0.00,False,0,0.0,0.0,8737,254,,0.0,0,,0,0.0,0,0,0,570,100.0,257,222,0.0,251,,0,0,0,2024-09-10T11:15:13.439596Z,596,0.00,246,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,427,a,81,0.1,0.0,0.0,458,256,0.0,0.0,590,0,257,0,550,0.00,9378,193
88,Nathan Collins,45,DEF,Brentford,1,22,45,1.0,237,1.0,,1,0.63,45.6,Collins,,47,0,1.0,19.73,False,0,0.06,166.0,335648,4,,0.2,0,,29,0.16,0,1,1,60,,42,79,6.4,1,,990,124,0,,154,1.73,4,1.0,0,11,1,1.79,2.6,3,0,104.0,0.0,0,2.0,392,a,1988,2.3,0.0,354.0,123,66,56.6,0.22,7,0,74,0,248,2.36,159809,6421
