id,name,now_cost,position,team,dreamteam_count,goals_conceded,selected_rank_type,form,creativity_rank,ep_this,chance_of_playing_this_round,bonus,expected_assists,creativity,web_name,penalties_order,ict_index_rank,clean_sheets,ep_next,expected_goals_conceded,in_dreamteam,red_cards,expected_assists_per_90,threat,transfers_in,ict_index_rank_type,corners_and_indirect_freekicks_order,value_form,saves,news,total_points,expected_goals_per_90,cost_change_start,yellow_cards,goals_scored,threat_rank,chance_of_playing_next_round,points_per_game_rank_type,form_rank_type,value_season,influence_rank_type,direct_freekicks_order,minutes,bps,own_goals,news_added,points_per_game_rank,expected_goals,threat_rank_type,starts_per_90,penalties_saved,starts,event_points,expected_goals_conceded_per_90,points_per_game,assists,cost_change_start_fall,region,clean_sheets_per_90,cost_change_event_fall,goals_conceded_per_90,now_cost_rank,status,transfers_in_event,selected_by_percent,saves_per_90,influence,selected_rank,creativity_rank_type,ict_index,expected_goal_involvements_per_90,influence_rank,cost_change_event,now_cost_rank_type,penalties_missed,form_rank,expected_goal_involvements,transfers_out,transfers_out_event
130,Kacper Kozłowski,45,MID,Brighton,0,0,307,0.0,581,0.0,0.0,0,0.00,0.0,Kozlowski,,586,0,0.0,0.00,False,0,0.0,0.0,0,249,,0.0,0,Permanent transfer to Gaziantep FK,0,0.0,0,0,0,561,0.0,252,215,0.0,246,,0,0,0,2024-07-22T09:03:00.342050Z,589,0.00,241,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,415,u,0,0.0,0.0,0.0,677,251,0.0,0.0,583,0,249,0,541,0.00,89,0
131,Tariq Lamptey,44,DEF,Brighton,0,2,137,0.8,341,-0.2,100.0,0,0.03,10.4,Lamptey,,376,0,0.8,0.53,False,0,0.27,0.0,8812,125,,0.2,0,,3,0.0,-1,0,0,512,100.0,30,90,0.7,123,,10,5,0,2024-08-15T14:30:05.840809Z,116,0.00,204,0.0,0,0,0,4.77,3.0,1,1,81.0,0.0,0,18.0,511,a,263,0.2,0.0,22.2,385,109,3.3,0.27,350,0,110,0,272,0.03,17819,306
132,Solly March,65,MID,Brighton,0,0,286,0.0,674,0.0,0.0,0,0.00,0.0,March,,674,0,0.0,0.00,False,0,0.0,0.0,660,307,,0.0,0,Lack of match fitness - 50% chance of playing,0,0.0,0,0,0,674,50.0,307,305,0.0,307,,0,0,0,2024-07-17T13:30:04.993410Z,673,0.00,307,0.0,0,0,0,0.0,0.0,0,0,241.0,0.0,0,0.0,44,d,19,0.0,0.0,0.0,643,307,0.0,0.0,674,0,24,0,668,0.00,890,15
133,Adrian Mazilu,45,MID,Brighton,0,0,267,0.0,608,0.0,0.0,0,0.00,0.0,Mazilu,,612,0,0.0,0.00,False,0,0.0,0.0,720,272,,0.0,0,Has joined Vitesse Arnhem on loan for the rest of the season,0,0.0,0,0,0,590,0.0,275,242,0.0,269,,0,0,0,2024-08-29T11:08:43.963582Z,615,0.00,265,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,454,u,0,0.0,0.0,0.0,612,274,0.0,0.0,609,0,282,0,572,0.00,3713,16
134,James Milner,50,MID,Brighton,0,1,202,0.0,181,0.0,0.0,0,0.15,66.3,Milner,,304,1,0.0,1.98,False,0,0.08,12.0,4481,151,1.0,0.0,0,Hamstring injury - Unknown return date,5,0.09,0,1,0,304,0.0,124,275,1.0,157,,169,24,0,2024-08-31T21:00:04.655035Z,274,0.16,168,1.6,0,3,0,1.05,1.7,0,0,241.0,0.53,0,0.53,184,i,7,0.0,0.0,28.6,518,114,10.7,0.17,337,0,115,0,623,0.31,9714,77
135,Yankuba Minteh,52,MID,Brighton,0,5,80,0.0,102,-0.5,50.0,0,1.20,129.2,Minteh,,147,1,0.0,5.09,False,0,0.27,107.0,252068,83,5.0,0.0,0,Groin Injury - 50% chance of playing,21,0.18,-3,2,1,103,50.0,52,290,4.0,97,,405,74,0,2024-10-19T22:30:05.622192Z,120,0.83,67,1.11,0,5,0,1.13,3.0,2,3,78.0,0.22,1,1.11,175,d,38,0.5,0.0,90.2,249,76,32.6,0.45,228,-1,108,0,644,2.03,332308,2630
136,Mitoma Kaoru,64,MID,Brighton,0,14,21,1.8,34,0.8,,1,2.00,222.4,Mitoma,,21,2,1.8,17.19,False,0,0.2,332.0,1227638,16,,0.3,0,,38,0.25,-1,0,1,12,,35,93,5.9,38,,914,158,0,,80,2.57,6,0.98,0,10,2,1.69,3.5,3,1,108.0,0.2,1,1.38,50,a,10832,5.2,0.0,178.4,71,29,73.3,0.45,108,-1,30,0,201,4.57,1085730,15462
137,Jakub Moder,44,MID,Brighton,0,0,62,0.5,334,-0.5,,0,0.00,11.1,Moder,,412,0,0.5,0.16,False,0,0.0,0.0,151166,204,,0.1,0,,2,0.0,-1,0,0,514,,170,148,0.5,203,,4,8,0,,364,0.00,214,0.0,0,0,1,3.6,1.0,0,1,172.0,0.0,0,0.0,514,a,2874,1.0,0.0,5.0,204,192,1.6,0.0,413,0,299,0,307,0.00,92576,3419
138,Mark O’Mahony,45,FWD,Brighton,0,0,51,0.0,616,0.0,0.0,0,0.00,0.0,O’Mahony,,620,0,0.0,0.00,False,0,0.0,0.0,31158,52,,0.0,0,Season long to Portsmouth,0,0.0,0,0,0,598,0.0,54,50,0.0,52,,0,0,0,2024-08-30T10:16:16.061223Z,622,0.00,52,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,463,u,0,0.3,0.0,0.0,315,52,0.0,0.0,617,0,72,0,580,0.00,63528,596
139,Odeluga Offiah,40,DEF,Brighton,0,0,173,0.0,471,0.0,0.0,0,0.00,0.0,Offiah,,488,0,0.0,0.00,False,0,0.0,0.0,2639,170,,0.0,0,Loaned to Blackpool,0,0.0,0,0,0,433,0.0,166,145,0.0,170,,0,0,0,2024-08-31T06:26:46.238644Z,489,0.00,152,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,627,u,0,0.1,0.0,0.0,473,169,0.0,0.0,485,0,182,0,415,0.00,11812,73
140,Cameron Peupion,45,MID,Brighton,0,0,194,0.0,587,-1.0,,0,0.00,0.0,Peupion,,591,0,0.0,0.00,False,0,0.0,0.0,4812,252,,0.0,0,,0,0.0,0,0,0,568,,255,220,0.0,249,,0,0,0,,594,0.00,244,0.0,0,0,0,0.0,0.0,0,0,13.0,0.0,0,0.0,425,a,59,0.1,0.0,0.0,506,254,0.0,0.0,588,0,255,0,548,0.00,5693,91
141,Jeremy Sarmiento Morante,49,MID,Brighton,0,0,278,0.0,405,0.0,0.0,0,0.00,0.8,Sarmiento,,447,0,0.0,0.00,False,0,0.0,0.0,354,223,,0.0,0,Loaned to Burnley,1,0.0,-1,0,0,631,0.0,198,270,0.2,219,,8,3,0,2024-08-31T06:27:42.007071Z,400,0.00,286,0.0,0,0,0,0.0,1.0,0,1,,0.0,0,0.0,276,u,0,0.0,0.0,0.2,630,215,0.1,0.0,443,0,181,0,617,0.00,2805,5
142,Jason Steele,43,GKP,Brighton,0,1,26,0.0,508,-1.0,,1,0.00,0.0,Steele,,368,1,0.0,1.88,False,0,0.0,0.0,285974,27,,0.0,3,,9,0.0,-2,0,0,476,,3,55,2.1,27,,180,46,0,,27,0.00,36,1.0,0,2,0,0.94,4.5,0,2,241.0,0.5,0,0.5,532,a,208,1.3,1.5,40.4,187,45,4.1,0.0,318,0,31,0,459,0.00,276990,2201
143,Deniz Undav,55,FWD,Brighton,0,0,75,0.0,668,0.0,0.0,0,0.00,0.0,Undav,,669,0,0.0,0.00,False,0,0.0,0.0,0,70,,0.0,0,Transferred to Stuttgart,0,0.0,0,0,0,666,0.0,70,69,0.0,70,,0,0,0,2024-08-10T12:18:55.962223Z,668,0.00,70,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,122,u,0,0.0,0.0,0.0,651,70,0.0,0.0,669,0,34,0,656,0.00,1412,3
144,Jan Paul van Hecke,45,DEF,Brighton,0,9,92,1.0,193,0.0,100.0,0,0.39,62.7,Van Hecke,,193,2,1.0,11.14,False,0,0.05,20.0,94936,56,,0.2,0,,23,0.01,0,2,0,270,100.0,43,80,5.1,35,,729,124,0,2024-09-29T22:30:06.452903Z,155,0.09,82,0.99,0,8,1,1.38,2.6,1,0,152.0,0.25,0,1.11,411,a,2402,0.5,0.0,185.6,251,52,26.9,0.06,100,0,80,0,250,0.48,82477,789
145,Joël Veltman,45,DEF,Brighton,1,11,40,2.8,184,1.8,100.0,5,1.06,65.7,Veltman,,226,3,2.8,13.19,False,0,0.11,18.0,496427,70,,0.6,0,,32,0.01,0,1,0,281,100.0,24,25,7.1,67,,866,137,0,2024-08-31T21:00:04.664470Z,97,0.07,86,1.04,0,10,2,1.37,3.2,0,0,152.0,0.31,0,1.14,361,a,8729,3.3,0.0,134.2,101,46,21.9,0.12,167,0,57,0,98,1.13,289199,4057
146,Bart Verbruggen,45,GKP,Brighton,0,14,21,4.5,582,3.5,100.0,2,0.00,0.0,Verbruggen,,169,2,4.5,16.74,False,0,0.0,0.0,304368,8,,1.0,34,,28,0.0,0,2,0,563,100.0,16,4,6.2,6,,810,125,0,2024-08-12T14:30:04.523944Z,107,0.00,59,1.0,0,9,3,1.86,3.1,0,0,152.0,0.22,0,1.56,417,a,15093,2.1,3.78,301.4,137,64,30.1,0.0,17,0,18,0,33,0.00,153370,2385
147,Adam Webster,43,DEF,Brighton,0,4,178,0.0,392,0.0,0.0,0,0.03,1.8,Webster,,393,0,0.0,3.95,False,0,0.03,2.0,2836,129,,0.0,0,Hamstring injury - 50% chance of playing,1,0.0,-2,0,0,366,50.0,148,182,0.2,124,,78,7,0,2024-10-06T22:00:07.268394Z,447,0.00,123,2.31,0,2,0,4.56,0.3,0,2,241.0,0.0,0,4.62,541,d,9,0.1,0.0,20.4,484,135,2.4,0.03,352,0,125,0,465,0.03,9350,119
148,Danny Welbeck,59,FWD,Brighton,1,13,4,5.8,82,4.8,100.0,13,0.34,146.6,Welbeck,3.0,16,4,5.8,17.65,True,0,0.03,345.0,3277178,4,,1.0,0,,64,0.5,4,1,6,10,100.0,5,6,10.8,5,1.0,928,235,0,2024-10-19T17:00:05.582252Z,12,5.11,5,1.07,0,11,2,1.71,5.8,2,-4,241.0,0.39,0,1.26,81,a,79490,21.1,0.0,278.6,17,3,77.0,0.53,25,0,23,0,14,5.45,1442367,43219
149,Mats Wieffer,48,MID,Brighton,0,7,182,0.8,217,-0.2,100.0,0,0.11,53.8,Wieffer,,279,1,0.8,6.29,False,0,0.04,25.0,11579,137,,0.2,0,,12,0.07,-2,0,0,249,100.0,121,135,2.5,126,,233,40,0,2024-08-29T09:30:04.701478Z,271,0.17,140,0.77,0,2,0,2.43,1.7,1,2,152.0,0.39,0,2.7,322,a,50,0.1,0.0,64.2,487,135,14.2,0.11,275,0,213,0,283,0.28,15378,119
595,Brajan Gruda,54,MID,Brighton,0,2,253,0.8,292,-0.2,100.0,0,0.03,22.4,Gruda,,361,0,0.8,1.23,False,0,0.05,12.0,869,178,,0.1,0,,4,0.0,-1,0,0,307,100.0,204,144,0.7,180,,59,10,0,2024-08-30T04:00:05.748621Z,410,0.00,171,0.0,0,0,1,1.88,1.0,0,1,80.0,0.0,0,3.05,143,a,34,0.0,0.0,13.4,592,167,4.7,0.05,377,0,85,0,295,0.03,3218,43
600,Yasin Ayari,50,MID,Brighton,0,6,231,1.5,84,0.4,75.0,0,0.80,146.2,Ayari,,155,2,1.5,9.20,False,0,0.15,77.0,2964,87,3.0,0.3,0,,14,0.11,0,2,0,143,100.0,137,98,2.8,99,,489,72,0,2024-11-04T11:00:07.942715Z,294,0.61,90,0.92,0,5,0,1.69,1.6,0,0,206.0,0.37,0,1.1,233,a,125,0.0,0.0,90.0,566,64,31.5,0.26,230,0,149,0,210,1.41,2638,79
601,Andrew Moran,50,MID,Brighton,0,0,297,0.0,654,0.0,0.0,0,0.00,0.0,Moran,,657,0,0.0,0.00,False,0,0.0,0.0,24,299,,0.0,0,Loaned to Stoke City,0,0.0,0,0,0,651,0.0,299,285,0.0,298,,0,0,0,2024-08-20T12:19:09.002604Z,656,0.00,297,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,234,u,0,0.0,0.0,0.0,661,299,0.0,0.0,656,0,150,0,637,0.00,496,1
615,Carl Rushworth,40,GKP,Brighton,0,0,65,0.0,480,0.0,0.0,0,0.00,0.0,Rushworth,,497,0,0.0,0.00,False,0,0.0,0.0,6698,56,,0.0,0,Loaned to Hull City,0,0.0,0,0,0,442,0.0,56,49,0.0,56,,0,0,0,2024-08-31T06:28:38.039682Z,498,0.00,30,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,637,u,0,0.1,0.0,0.0,502,39,0.0,0.0,494,0,67,0,425,0.00,6387,44
618,Georginio Rutter,56,MID,Brighton,1,11,49,3.8,95,2.8,100.0,1,0.94,135.0,Georginio,,86,3,3.8,14.23,False,0,0.14,172.0,207811,52,,0.7,0,,40,0.29,1,1,2,56,100.0,22,24,7.1,61,,603,102,0,2024-10-12T11:00:07.563830Z,53,1.95,34,1.19,0,8,2,2.12,4.0,3,-1,73.0,0.45,0,1.64,110,a,6343,1.5,0.0,136.8,168,71,43.4,0.43,164,0,67,0,60,2.89,60609,8290
628,Ferdi Kadioglu,45,DEF,Brighton,0,8,95,4.5,159,3.5,100.0,0,0.31,83.7,F.Kadıoğlu,,207,2,3.4,9.44,False,0,0.07,40.0,70308,61,,1.0,0,Knock - 75% chance of playing,19,0.1,0,1,1,216,75.0,25,8,4.2,75,,385,59,0,2024-11-10T01:30:09.967684Z,98,0.44,57,1.17,0,5,0,2.21,3.2,0,0,219.0,0.47,0,1.87,382,d,6311,0.5,0.0,116.4,261,37,24.0,0.17,188,0,69,0,32,0.75,24143,3815
629,Matt O'Riley,55,MID,Brighton,0,0,198,2.0,411,0.8,75.0,2,0.01,0.4,O'Riley,,347,0,2.0,0.27,False,0,0.03,19.0,5639,172,,0.4,0,,8,1.42,0,0,1,279,100.0,2,78,1.5,151,,33,29,0,2024-08-28T16:30:04.729425Z,2,0.52,156,0.0,0,0,8,0.74,8.0,0,0,58.0,0.0,0,0.0,117,a,4636,0.0,0.0,35.6,512,219,5.5,1.45,327,0,72,0,179,0.53,765,142
663,Imari Samuels,40,DEF,Brighton,0,0,194,0.0,472,-1.0,,0,0.00,0.0,Samuels,,489,0,0.0,0.00,False,0,0.0,0.0,3189,171,,0.0,0,,0,0.0,0,0,0,434,,167,146,0.0,171,,0,0,0,,490,0.00,153,0.0,0,0,0,0.0,0.0,0,0,241.0,0.0,0,0.0,628,a,117,0.0,0.0,0.0,561,170,0.0,0.0,486,0,183,0,416,0.00,1558,106
668,Killian Cahill,39,GKP,Brighton,0,0,58,0.0,432,-1.0,,0,0.00,0.0,Cahill,,452,0,0.0,0.00,False,0,0.0,0.0,12871,30,,0.0,0,,0,0.0,-1,0,0,392,,30,22,0.0,30,,0,0,0,,454,0.00,2,0.0,0,0,0,0.0,0.0,0,1,104.0,0.0,1,0.0,677,a,11363,0.1,0.0,0.0,412,11,0.0,0.0,449,-1,72,0,376,0.00,1365,549
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,0,295,0.0,603,0.0,0.0,0,0.00,0.0,Andrey Santos,,607,0,0.0,0.00,False,0,0.0,0.0,0,267,,0.0,0,Has joined Strasbourg on a season-long loan,0,0.0,0,0,0,585,0.0,270,237,0.0,264,,0,0,0,2024-08-05T10:16:34.176364Z,610,0.00,260,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,449,u,0,0.0,0.0,0.0,659,269,0.0,0.0,604,0,277,0,567,0.00,566,0
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0,0,142,0.0,596,0.0,0.0,0,0.00,0.0,Ângelo,,600,0,0.0,0.00,False,0,0.0,0.0,5940,261,,0.0,0,Transferred to Al-Nassr,0,0.0,0,0,0,578,0.0,264,231,0.0,258,,0,0,0,2024-09-05T10:38:18.297070Z,603,0.00,254,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,441,u,0,0.2,0.0,0.0,402,263,0.0,0.0,597,0,271,0,559,0.00,25921,264
153,Benoît Badiashile,43,DEF,Chelsea,0,0,157,0.2,402,-0.3,,0,0.00,0.9,B.Badiashile,,427,0,0.7,0.09,False,0,0.0,0.0,5798,144,,0.0,0,,1,0.0,-2,0,0,489,,128,115,0.2,139,,37,11,0,,360,0.00,193,0.0,0,0,0,0.22,1.0,0,2,73.0,0.0,0,0.0,559,a,87,0.1,0.0,8.2,432,141,0.9,0.0,400,0,141,0,340,0.00,11799,148
154,Lucas Bergström,40,GKP,Chelsea,0,0,47,0.0,481,-0.5,,0,0.00,0.0,Bergström,,498,0,0.5,0.00,False,0,0.0,0.0,12299,57,,0.0,0,,0,0.0,0,0,0,443,,57,50,0.0,57,,0,0,0,,499,0.00,31,0.0,0,0,0,0.0,0.0,0,0,72.0,0.0,0,0.0,639,a,65,0.3,0.0,0.0,332,40,0.0,0.0,495,0,68,0,426,0.00,12808,285
155,Marcus Bettinelli,40,GKP,Chelsea,0,0,43,0.0,443,-0.5,,0,0.00,0.0,Bettinelli,,461,0,0.5,0.00,False,0,0.0,0.0,8420,37,,0.0,0,,0,0.0,0,0,0,404,,37,29,0.0,37,,0,0,0,,464,0.00,10,0.0,0,0,0,0.0,0.0,0,0,241.0,0.0,0,0.0,593,a,43,0.3,0.0,0.0,292,19,0.0,0.0,458,0,47,0,387,0.00,12629,262
157,Moisés Caicedo Corozo,49,MID,Chelsea,0,13,53,4.5,61,4.0,,2,1.21,167.5,Caicedo,,75,2,5.0,14.43,False,0,0.11,38.0,157932,45,,0.9,0,,35,0.02,-1,2,1,219,,42,12,7.1,12,,975,210,0,,101,0.26,124,1.02,0,11,2,1.33,3.2,2,1,62.0,0.18,0,1.2,282,a,9995,1.4,0.0,251.0,174,49,45.7,0.13,42,0,185,0,34,1.47,93718,3802
158,Cesare Casadei,44,MID,Chelsea,0,0,150,0.0,544,-0.5,,0,0.00,0.0,Casadei,,550,0,0.5,0.00,False,0,0.0,0.0,14965,226,,0.0,0,,0,0.0,-1,0,0,520,,229,191,0.0,223,,0,0,0,,553,0.00,217,0.0,0,0,0,0.0,0.0,0,1,106.0,0.0,0,0.0,524,a,772,0.1,0.0,0.0,416,228,0.0,0.0,547,0,302,0,503,0.00,16998,446
160,Ben Chilwell,47,DEF,Chelsea,0,0,94,0.0,623,-0.5,,0,0.00,0.0,Chilwell,,627,0,0.5,0.00,False,0,0.0,0.0,22830,221,,0.0,0,,0,0.0,-3,0,0,608,,219,215,0.0,221,,0,0,0,,629,0.00,217,0.0,0,0,0,0.0,0.0,0,3,241.0,0.0,0,0.0,335,a,489,0.5,0.0,0.0,257,221,0.0,0.0,625,0,43,0,589,0.00,72504,749
161,Carney Chukwuemeka,48,MID,Chelsea,0,0,200,0.0,630,-0.5,100.0,0,0.00,0.0,Chukwuemeka,,634,0,0.5,0.00,False,0,0.0,0.0,3629,285,,0.0,0,,0,0.0,-2,0,0,619,100.0,286,263,0.0,284,,0,0,0,2024-10-04T12:30:06.437566Z,636,0.00,281,0.0,0,0,0,0.0,0.0,0,2,241.0,0.0,0,0.0,324,a,43,0.0,0.0,0.0,516,286,0.0,0.0,633,0,215,0,605,0.00,6455,80
162,Levi Colwill,45,DEF,Chelsea,0,13,44,1.5,223,1.0,,1,0.79,50.5,Colwill,,177,2,1.5,14.29,False,0,0.07,42.0,471017,48,,0.3,0,Knock - 75% chance of playing,24,0.02,0,3,0,211,75.0,65,62,5.3,25,,990,120,0,2024-11-12T14:30:07.619476Z,198,0.19,55,1.0,0,11,1,1.3,2.2,0,0,241.0,0.18,1,1.18,402,d,10735,3.0,0.0,198.2,109,60,29.1,0.09,79,-1,79,0,205,0.98,258134,4686
163,Marc Cucurella Saseta,50,DEF,Chelsea,0,9,32,0.8,225,0.3,100.0,0,0.67,49.9,Cucurella,,245,2,1.3,9.54,False,0,0.08,18.0,317704,81,,0.2,0,,18,0.0,0,6,0,284,100.0,86,93,3.6,73,,737,104,0,2024-10-06T22:00:07.319833Z,259,0.04,88,0.98,0,8,1,1.16,1.8,0,0,200.0,0.24,0,1.1,196,a,6493,4.1,0.0,119.0,84,61,18.7,0.08,185,0,21,0,290,0.71,584470,5427
164,David Datro Fofana,54,FWD,Chelsea,0,0,63,0.0,667,0.0,0.0,0,0.00,0.0,D.D.Fofana,,668,0,0.0,0.00,False,0,0.0,0.0,4727,69,,0.0,0,Transferred to AEK Athens,0,0.0,-1,0,0,664,0.0,69,68,0.0,69,,0,0,0,2024-09-11T14:26:52.770225Z,667,0.00,69,0.0,0,0,0,0.0,0.0,0,1,54.0,0.0,0,0.0,144,u,0,0.1,0.0,0.0,485,69,0.0,0.0,668,0,42,0,654,0.00,14518,60
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,0,0,58,0.0,659,-0.5,,0,0.00,0.0,Deivid,,661,0,0.5,0.00,False,0,0.0,0.0,12016,67,,0.0,0,,0,0.0,0,0,0,655,,67,66,0.0,67,,0,0,0,,660,0.00,67,0.0,0,0,0,0.0,0.0,0,0,30.0,0.0,0,0.0,244,a,169,0.1,0.0,0.0,411,67,0.0,0.0,660,0,54,0,641,0.00,14495,315
166,Kiernan Dewsbury-Hall,56,MID,Chelsea,0,1,152,0.0,327,-0.5,,0,0.03,12.4,Dewsbury-Hall,,403,0,0.5,0.34,False,0,0.06,0.0,5257,201,,0.0,0,,3,0.0,-4,0,0,668,,206,297,0.5,197,,44,9,0,,413,0.00,303,0.0,0,0,0,0.7,1.0,0,4,241.0,0.0,0,2.05,106,a,65,0.1,0.0,7.4,421,188,2.0,0.06,405,0,66,0,658,0.03,22755,169
167,Axel Disasi,43,DEF,Chelsea,0,0,117,0.0,396,-0.5,,0,0.00,1.5,Disasi,,415,1,0.5,1.90,False,0,0.0,0.0,22092,139,,0.0,0,,7,0.0,-2,0,0,487,,14,188,1.6,135,,94,29,0,,72,0.00,191,0.96,0,1,0,1.82,3.5,0,2,73.0,0.96,0,0.0,554,a,370,0.3,0.0,13.0,318,137,1.5,0.0,378,0,136,0,472,0.00,42617,591
168,Enzo Fernández,48,MID,Chelsea,0,8,57,1.8,55,1.3,,0,0.72,186.3,Enzo,4.0,123,1,2.3,6.09,False,0,0.11,58.0,127166,75,3.0,0.4,0,,19,0.07,-2,1,0,177,,107,84,4.0,74,,607,112,0,,242,0.48,107,0.89,0,6,4,0.9,1.9,1,2,10.0,0.15,0,1.19,319,a,1738,1.1,0.0,114.0,191,46,35.9,0.18,192,0,211,0,190,1.20,188456,2194
169,Conor Gallagher,59,MID,Chelsea,0,0,143,0.0,670,0.0,0.0,0,0.00,0.0,Gallagher,,670,0,0.0,0.00,False,0,0.0,0.0,1567,305,,0.0,0,Transferred to Atletico Madrid,0,0.0,-1,0,0,669,0.0,305,299,0.0,305,,0,0,0,2024-08-22T11:20:34.236891Z,669,0.00,304,0.0,0,0,0,0.0,0.0,0,1,,0.0,0,0.0,85,u,0,0.2,0.0,0.0,403,305,0.0,0.0,670,0,54,0,660,0.00,71367,68
170,Alfie Gilchrist,40,DEF,Chelsea,0,0,189,0.0,488,0.0,0.0,0,0.00,0.0,Gilchrist,,505,0,0.0,0.00,False,0,0.0,0.0,0,179,,0.0,0,Has joined Sheffield United on a season-long,0,0.0,0,0,0,451,0.0,176,157,0.0,179,,0,0,0,2024-08-09T11:15:16.064928Z,507,0.00,162,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,648,u,0,0.0,0.0,0.0,535,178,0.0,0.0,502,0,195,0,435,0.00,6318,51
171,Malo Gusto,49,DEF,Chelsea,0,12,61,1.2,130,0.7,100.0,0,0.38,106.2,Gusto,,181,0,1.7,10.31,False,0,0.05,74.0,157174,50,,0.2,0,,11,0.11,-1,2,0,149,100.0,110,74,2.2,82,,726,55,0,2024-09-02T01:30:06.042221Z,332,0.92,28,1.12,0,9,2,1.28,1.2,0,1,73.0,0.0,0,1.49,281,a,6224,1.6,0.0,105.4,162,27,28.6,0.16,205,0,30,0,233,1.30,319838,2287
172,Reece James,49,DEF,Chelsea,0,4,87,1.2,290,0.7,100.0,0,0.22,23.2,James,,342,0,1.7,5.78,False,0,0.08,0.0,68853,113,2.0,0.2,0,,5,0.0,-1,0,0,628,100.0,109,73,1.0,116,2.0,240,32,0,2024-07-17T13:30:05.006577Z,331,0.00,222,1.12,0,3,1,2.17,1.2,0,1,241.0,0.0,0,1.5,268,a,6982,0.6,0.0,38.2,234,90,6.2,0.08,325,0,27,0,231,0.22,20060,2689
173,Omari Kellyman,44,MID,Chelsea,0,0,230,0.0,546,0.0,0.0,0,0.00,0.0,Kellyman,,552,0,0.0,0.00,False,0,0.0,0.0,2719,228,,0.0,0,Hamstring injury - Unknown return date,0,0.0,-1,0,0,522,0.0,231,193,0.0,225,,0,0,0,2024-09-08T23:00:06.668188Z,555,0.00,219,0.0,0,0,0,0.0,0.0,0,1,241.0,0.0,0,0.0,528,i,32,0.0,0.0,0.0,564,230,0.0,0.0,549,0,305,0,505,0.00,4736,73
174,Roméo Lavia,45,MID,Chelsea,0,6,64,2.2,172,1.7,100.0,0,0.26,71.2,Lavia,,276,0,2.0,6.95,False,0,0.07,0.0,146790,135,,0.5,0,Knock - 75% chance of playing,12,0.0,0,1,0,575,75.0,99,60,2.7,111,,336,69,0,2024-11-10T23:00:07.545590Z,228,0.00,251,1.34,0,5,2,1.86,2.0,1,0,21.0,0.0,0,1.61,438,d,4045,0.9,0.0,73.6,206,110,14.6,0.07,253,0,268,0,141,0.26,163098,3110
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,0,0,55,0.0,672,0.0,0.0,0,0.00,0.0,Lukaku,,672,0,0.0,0.00,False,0,0.0,0.0,8049,72,,0.0,0,Permanent transfer to Napoli,0,0.0,-2,0,0,671,0.0,72,71,0.0,72,,0,0,0,2024-08-30T10:21:53.872158Z,671,0.00,72,0.0,0,0,0,0.0,0.0,0,2,,0.0,0,0.0,52,u,0,0.2,0.0,0.0,362,72,0.0,0.0,672,0,20,0,664,0.00,60060,97
176,Malang Sarr,45,DEF,Chelsea,0,0,220,0.0,558,0.0,0.0,0,0.00,0.0,M.Sarr,,563,0,0.0,0.00,False,0,0.0,0.0,0,215,,0.0,0,Permanent move to RC Lens,0,0.0,0,0,0,537,0.0,213,209,0.0,215,,0,0,0,2024-07-29T09:46:25.583703Z,566,0.00,210,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,372,u,0,0.0,0.0,0.0,663,215,0.0,0.0,560,0,61,0,517,0.00,434,0
177,Noni Madueke,64,MID,Chelsea,1,11,16,1.5,76,1.0,,6,0.96,151.7,Madueke,3.0,28,2,2.0,12.04,False,0,0.11,352.0,1976977,21,,0.2,0,,49,0.33,-1,2,4,9,,11,105,7.7,27,,754,173,0,,22,2.79,5,1.19,0,10,1,1.44,4.9,1,1,241.0,0.24,0,1.31,49,a,12780,7.2,0.0,198.2,61,58,70.3,0.44,81,0,29,0,220,3.75,1420368,34812
178,Marc Guiu Paz,48,FWD,Chelsea,0,1,42,0.0,414,-0.5,,0,0.00,0.3,Marc Guiu,,635,0,0.5,0.11,False,0,0.0,0.0,68389,58,,0.0,0,,1,0.0,-2,0,0,621,,37,57,0.2,58,,24,2,0,,393,0.00,58,0.0,0,0,0,0.41,1.0,0,2,200.0,0.0,0,3.75,327,a,1263,0.6,0.0,0.0,245,43,0.0,0.0,634,0,62,0,606,0.00,99493,1493
