id,name,now_cost,position,team,expected_goals_conceded_per_90,ep_next,cost_change_start_fall,expected_goal_involvements_per_90,creativity,selected_rank,now_cost_rank,status,creativity_rank,bps,in_dreamteam,red_cards,bonus,goals_scored,ict_index_rank,chance_of_playing_next_round,threat_rank,now_cost_rank_type,goals_conceded_per_90,expected_goals_per_90,yellow_cards,expected_assists_per_90,own_goals,saves,ep_this,chance_of_playing_this_round,direct_freekicks_order,transfers_out,starts_per_90,clean_sheets_per_90,points_per_game_rank_type,threat_rank_type,creativity_rank_type,points_per_game_rank,transfers_in,form_rank_type,expected_goals,value_form,transfers_in_event,news_added,transfers_out_event,dreamteam_count,influence_rank_type,clean_sheets,saves_per_90,expected_goals_conceded,total_points,form_rank,penalties_saved,points_per_game,assists,cost_change_event,news,influence_rank,region,web_name,expected_goal_involvements,goals_conceded,selected_by_percent,cost_change_start,influence,form,corners_and_indirect_freekicks_order,cost_change_event_fall,ict_index_rank_type,value_season,expected_assists,ict_index,starts,penalties_missed,penalties_order,event_points,selected_rank_type,minutes,threat
105,Mads Roerslev Rasmussen,44,DEF,Brentford,1.84,0.0,1,0.11,90.7,456,506,a,164,32,False,0,0,0,252,,316,107,2.23,0.0,1,0.11,0,0,0.0,,,10381,0.81,0.0,106,102,39,326,7490,204,0.01,0.0,51,,174,0,90,0,0.0,9.06,12,495,0,1.3,1,0,,248,58.0,Roerslev,0.57,11,0.1,-1,84.8,0.0,,0,83,2.7,0.56,18.8,4,0,,0,163,444,11.0
106,Kevin Schade,51,MID,Brentford,1.46,0.7,4,0.27,36.7,465,183,a,266,47,False,0,0,0,235,,91,114,1.8,0.26,1,0.01,0,0,0.7,,,24415,0.9,0.18,141,56,157,302,22914,148,1.46,0.1,88,,219,0,139,1,0.0,8.13,19,297,0,1.6,1,0,,299,80.0,Schade,1.52,10,0.1,-4,55.6,0.7,,0,116,3.7,0.06,22.2,5,0,,1,171,500,131.0
107,Igor Thiago Nascimento Rodrigues,59,FWD,Brentford,2.6,0.3,1,0.0,0.2,590,87,a,426,3,False,0,0,0,452,100.0,676,26,0.0,0.0,0,0.0,0,0,0.3,100.0,,2651,0.0,0.0,43,71,47,415,1355,43,0.00,0.1,218,2024-08-05T15:00:04.331164Z,52,0,45,0,0.0,0.52,1,352,0,1.0,0,0,,443,30.0,Thiago,0.00,0,0.0,-1,1.2,0.3,,0,47,0.2,0.00,0.1,0,0,,1,72,18,0.0
108,Ivan Toney,73,FWD,Brentford,0.0,0.0,2,0.0,0.0,186,19,u,684,0,False,0,0,0,684,0.0,684,7,0.0,0.0,0,0.0,0,0,0.0,0.0,,794536,0.0,0.0,75,75,75,683,43376,75,0.00,0.0,0,2024-08-31T06:41:10.704245Z,572,0,75,0,0.0,0.00,0,681,0,0.0,0,0,Transferred to Al-Ahli,684,,Toney,0.00,0,1.3,-2,0.0,0.0,,0,75,0.0,0.00,0.0,0,0,,0,34,0,0.0
109,Hákon Valdimarsson,40,GKP,Brentford,0.0,0.0,0,0.0,0.0,105,650,a,492,0,False,0,0,0,510,,454,70,0.0,0.0,0,0.0,0,0,0.0,,,231382,0.0,0.0,59,32,41,512,147021,53,0.00,0.0,334,,2253,0,59,0,0.0,0.00,0,430,0,0.0,0,0,,506,99.0,Valdimarsson,0.00,0,3.0,0,0.0,0.0,,0,59,0.0,0.00,0.0,0,0,,0,16,0,0.0
110,Yoane Wissa,61,FWD,Brentford,1.57,5.7,-1,0.8,82.8,51,74,a,172,228,False,0,11,6,53,100.0,29,21,1.56,0.75,1,0.05,0,0,4.3,75.0,,1155934,1.13,0.28,3,14,23,7,1678654,6,5.29,0.9,39499,2024-11-13T14:30:07.614563Z,34572,3,8,2,0.0,11.07,56,19,0,6.2,2,0,,63,50.0,Wissa,5.63,11,8.5,1,240.2,5.7,,0,13,9.2,0.34,58.9,8,0,4.0,2,12,636,267.0
111,Yehor Yarmoliuk,44,MID,Brentford,2.81,1.0,1,0.17,26.8,98,525,a,291,33,False,0,0,0,332,,299,306,2.54,0.14,1,0.03,0,0,1.0,,,284470,0.63,0.0,177,165,171,374,324504,118,0.22,0.2,11123,,11478,0,156,0,0.0,4.44,8,238,0,1.0,0,0,,326,225.0,Yarmoliuk,0.27,4,3.2,-1,41.8,1.0,,0,166,1.8,0.05,8.3,1,0,,1,30,142,15.0
112,Mathias Jorgensen,45,DEF,Brentford,0.0,0.0,0,0.0,0.0,624,355,u,556,0,False,0,0,0,562,0.0,531,55,0.0,0.0,0,0.0,0,0,0.0,0.0,,3922,0.0,0.0,214,211,216,565,0,208,0.00,0.0,0,2024-08-16T11:51:35.999618Z,8,0,216,0,0.0,0.00,0,508,0,0.0,0,0,Joined Anderlecht,558,,Zanka,0.00,0,0.0,0,0.0,0.0,,0,216,0.0,0.00,0.0,0,0,,0,209,0,0.0
314,Fábio Freitas Gouveia Carvalho,48,MID,Brentford,2.85,0.3,2,0.61,41.0,209,313,a,253,74,False,0,1,1,241,,126,209,3.19,0.47,1,0.14,0,0,0.3,,,205798,0.64,0.0,113,81,151,248,158665,165,1.47,0.1,306,,5881,0,106,0,0.0,8.94,21,335,0,1.9,1,0,,245,173.0,Carvalho,1.91,10,0.9,-2,86.2,0.3,4.0,0,120,4.4,0.44,21.9,2,0,,0,65,282,94.0
338,Sepp van den Berg,41,DEF,Brentford,1.76,2.7,-1,0.11,43.0,95,583,a,251,47,False,0,0,0,192,,133,157,2.08,0.07,0,0.04,0,0,2.7,,,139221,0.99,0.11,93,17,74,288,435035,32,0.62,0.7,12271,,2285,0,61,1,0.0,16.01,16,117,0,1.6,0,0,,146,152.0,Van den Berg,0.98,19,3.4,1,161.4,2.7,,0,53,3.9,0.36,29.1,9,0,,6,38,821,87.0
602,Ryan Trevitt,45,MID,Brentford,0.0,0.0,0,0.0,0.1,509,470,a,429,5,False,0,0,0,444,,612,293,0.0,0.0,0,0.0,0,0,0.0,,,5227,0.0,0.0,185,276,222,384,5131,244,0.00,0.0,28,,111,0,215,0,0.0,0.00,1,588,0,1.0,0,0,,434,241.0,Trevitt,0.00,0,0.1,0,2.6,0.0,,0,219,0.2,0.00,0.3,0,0,,0,195,3,0.0
634,Gustavo Nunes Fernandes Gomes,49,MID,Brentford,0.0,0.0,1,0.0,0.0,666,288,d,648,0,False,0,0,0,654,50.0,641,190,0.0,0.0,0,0.0,0,0,0.0,0.0,,349,0.0,0.0,295,292,295,654,299,273,0.00,0.0,1,2024-09-12T15:00:06.996116Z,3,0,294,0,0.0,0.00,0,627,0,0.0,0,0,Lack of match fitness - 50% chance of playing,653,30.0,G.Nunes,0.00,0,0.0,-1,0.0,0.0,,0,295,0.0,0.00,0.0,0,0,,0,299,0,0.0
649,Jayden Meghoma,40,DEF,Brentford,0.0,0.0,0,0.0,0.0,533,648,a,490,0,False,0,0,0,508,,452,193,0.0,0.0,0,0.0,0,0,0.0,,,2213,0.0,0.0,177,163,179,510,3594,154,0.00,0.0,69,,79,0,180,0,0.0,0.00,0,428,0,0.0,0,0,,504,241.0,Meghoma,0.00,0,0.0,0,0.0,0.0,,0,180,0.0,0.00,0.0,0,0,,0,189,0,0.0
661,Tony Yogane,45,MID,Brentford,0.0,0.0,0,0.0,0.0,620,471,a,631,0,False,0,0,0,635,,613,294,0.0,0.0,0,0.0,0,0,0.0,,,1241,0.0,0.0,284,277,284,637,2045,245,0.00,0.0,32,,64,0,279,0,0.0,0.00,0,589,0,0.0,0,0,,631,241.0,Yogane,0.00,0,0.0,0,0.0,0.0,,0,282,0.0,0.00,0.0,0,0,,0,272,0,0.0
674,Paris Maghoma,45,MID,Brentford,0.0,0.0,0,0.0,0.0,668,378,a,568,0,False,0,0,0,573,,546,231,0.0,0.0,0,0.0,0,0,0.0,,,69,0.0,0.0,236,226,235,576,224,191,0.00,0.0,37,,21,0,230,0,0.0,0.00,0,519,0,0.0,0,0,,569,241.0,Maghoma,0.00,0,0.0,0,0.0,0.0,,0,233,0.0,0.00,0.0,0,0,,0,301,0,0.0
113,Simon Adingra,53,MID,Brighton,1.68,1.8,2,0.41,34.8,284,157,a,269,59,False,0,0,1,279,100.0,202,94,1.19,0.13,0,0.28,0,0,1.3,100.0,,132805,0.79,0.0,96,117,159,214,105519,115,0.32,0.2,556,2024-09-29T22:30:06.392264Z,904,0,127,0,0.0,4.23,18,224,0,2.2,1,0,,279,54.0,Adingra,1.03,3,0.4,-2,69.6,1.3,,0,136,3.4,0.71,15.6,2,0,,1,93,227,51.0
